[04/04/20 22:01:17.027][I][3522][3522][KHighAccuracyData_ByNDS_Plugin.cpp][PrintNDSDataInfo] data version:NDS-2.5.1,LANEAUX-1.8,LANDMARK-1.3. compiler version:KMCompilerV3.11.2. creation datatime:2019-12-28 10:33:35
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Distance Threshold:20.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Altitude Threshold:2.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Angle Threshold:181.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Log:0
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Use Altitude:1
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Dis2RouteThreshold:2.000000
[04/04/20 22:01:22.705][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353468, Latitude:113801473, Altitude:2515, CarAngle:134.600006
[04/04/20 22:01:22.715][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353462, Latitude:113801479, Altitude:2515, CarAngle:134.600006
[04/04/20 22:01:22.726][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353462, Latitude:113801479, Altitude:2515, CarAngle:134.600006
[04/04/20 22:01:22.736][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353458, Latitude:113801482, Altitude:2515, CarAngle:134.600006
[04/04/20 22:01:22.746][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353455, Latitude:113801485, Altitude:2515, CarAngle:134.600006
[04/04/20 22:01:22.760][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353452, Latitude:113801488, Altitude:2515, CarAngle:134.600006
[04/04/20 22:01:22.774][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353448, Latitude:113801491, Altitude:2515, CarAngle:134.600006
[04/04/20 22:01:22.824][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353441, Latitude:113801500, Altitude:2515, CarAngle:134.600006
[04/04/20 22:01:22.835][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353441, Latitude:113801500, Altitude:2515, CarAngle:134.600006
[04/04/20 22:01:22.845][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353441, Latitude:113801500, Altitude:2515, CarAngle:134.600006
[04/04/20 22:01:22.865][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353431, Latitude:113801505, Altitude:2514, CarAngle:134.600006
[04/04/20 22:01:22.876][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353428, Latitude:113801508, Altitude:2514, CarAngle:134.600006
[04/04/20 22:01:22.886][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353428, Latitude:113801508, Altitude:2514, CarAngle:134.600006
[04/04/20 22:01:22.896][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353421, Latitude:113801514, Altitude:2514, CarAngle:134.600006
[04/04/20 22:01:22.906][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353418, Latitude:113801517, Altitude:2514, CarAngle:134.600006
[04/04/20 22:01:22.917][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353415, Latitude:113801520, Altitude:2514, CarAngle:134.600006
[04/04/20 22:01:22.927][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353411, Latitude:113801523, Altitude:2514, CarAngle:134.600006
[04/04/20 22:01:22.937][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353411, Latitude:113801526, Altitude:2514, CarAngle:134.600006
[04/04/20 22:01:22.950][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353404, Latitude:113801529, Altitude:2514, CarAngle:134.600006
[04/04/20 22:01:22.964][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353401, Latitude:113801532, Altitude:2514, CarAngle:134.600006
[04/04/20 22:01:22.977][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353398, Latitude:113801535, Altitude:2513, CarAngle:134.600006
[04/04/20 22:01:22.995][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353394, Latitude:113801538, Altitude:2513, CarAngle:134.600006
[04/04/20 22:01:23.012][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353391, Latitude:113801541, Altitude:2513, CarAngle:134.600006
[04/04/20 22:01:23.023][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353388, Latitude:113801544, Altitude:2513, CarAngle:134.600006
[04/04/20 22:01:23.038][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353384, Latitude:113801547, Altitude:2513, CarAngle:134.600006
[04/04/20 22:01:23.060][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353381, Latitude:113801553, Altitude:2513, CarAngle:134.600006
[04/04/20 22:01:23.070][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353374, Latitude:113801556, Altitude:2513, CarAngle:134.600006
[04/04/20 22:01:23.080][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353371, Latitude:113801558, Altitude:2513, CarAngle:134.600006
[04/04/20 22:01:23.094][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353367, Latitude:113801561, Altitude:2513, CarAngle:134.600006
[04/04/20 22:01:23.107][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353364, Latitude:113801564, Altitude:2513, CarAngle:134.600006
[04/04/20 22:01:23.121][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353361, Latitude:113801567, Altitude:2513, CarAngle:134.500000
[04/04/20 22:01:23.133][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353357, Latitude:113801570, Altitude:2513, CarAngle:134.500000
[04/04/20 22:01:23.156][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353354, Latitude:113801573, Altitude:2513, CarAngle:134.500000
[04/04/20 22:01:23.176][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353351, Latitude:113801576, Altitude:2513, CarAngle:134.500000
[04/04/20 22:01:23.187][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353347, Latitude:113801579, Altitude:2512, CarAngle:134.500000
[04/04/20 22:01:23.197][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353344, Latitude:113801582, Altitude:2512, CarAngle:134.500000
[04/04/20 22:01:23.211][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353340, Latitude:113801585, Altitude:2512, CarAngle:134.500000
[04/04/20 22:01:23.224][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353337, Latitude:113801588, Altitude:2512, CarAngle:134.500000
[04/04/20 22:01:23.238][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353334, Latitude:113801591, Altitude:2512, CarAngle:134.600006
[04/04/20 22:01:23.262][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353330, Latitude:113801594, Altitude:2512, CarAngle:134.600006
[04/04/20 22:01:23.272][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353323, Latitude:113801599, Altitude:2512, CarAngle:134.600006
[04/04/20 22:01:23.283][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353320, Latitude:113801602, Altitude:2512, CarAngle:134.600006
[04/04/20 22:01:23.297][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353320, Latitude:113801605, Altitude:2512, CarAngle:134.600006
[04/04/20 22:01:23.308][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353314, Latitude:113801608, Altitude:2512, CarAngle:134.600006
[04/04/20 22:01:23.323][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353310, Latitude:113801611, Altitude:2512, CarAngle:134.600006
[04/04/20 22:01:23.337][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353307, Latitude:113801614, Altitude:2512, CarAngle:134.600006
[04/04/20 22:01:23.357][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353303, Latitude:113801617, Altitude:2512, CarAngle:134.500000
[04/04/20 22:01:23.368][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353300, Latitude:113801620, Altitude:2512, CarAngle:134.500000
[04/04/20 22:01:23.383][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353297, Latitude:113801623, Altitude:2512, CarAngle:134.500000
[04/04/20 22:01:23.398][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353290, Latitude:113801629, Altitude:2511, CarAngle:134.500000
[04/04/20 22:01:23.410][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353290, Latitude:113801632, Altitude:2511, CarAngle:134.500000
[04/04/20 22:01:23.432][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353283, Latitude:113801635, Altitude:2511, CarAngle:134.500000
[04/04/20 22:01:23.443][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353280, Latitude:113801638, Altitude:2511, CarAngle:134.500000
[04/04/20 22:01:23.463][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353276, Latitude:113801641, Altitude:2511, CarAngle:134.500000
[04/04/20 22:01:23.474][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353273, Latitude:113801644, Altitude:2511, CarAngle:134.500000
[04/04/20 22:01:23.488][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353269, Latitude:113801647, Altitude:2511, CarAngle:134.500000
[04/04/20 22:01:23.509][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353266, Latitude:113801650, Altitude:2511, CarAngle:134.500000
[04/04/20 22:01:23.519][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353263, Latitude:113801653, Altitude:2511, CarAngle:134.600006
[04/04/20 22:01:23.532][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353259, Latitude:113801658, Altitude:2511, CarAngle:134.600006
[04/04/20 22:01:23.545][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353256, Latitude:113801658, Altitude:2511, CarAngle:134.600006
[04/04/20 22:01:23.559][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353253, Latitude:113801661, Altitude:2511, CarAngle:134.600006
[04/04/20 22:01:23.576][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353246, Latitude:113801667, Altitude:2511, CarAngle:134.600006
[04/04/20 22:01:23.593][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353243, Latitude:113801670, Altitude:2511, CarAngle:134.600006
[04/04/20 22:01:23.609][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353239, Latitude:113801673, Altitude:2511, CarAngle:134.600006
